Transaction_ID,Transaction_Type,Transaction_Date,Transaction_Status,Transferring_Registry,Transferring_Account_Type,Transferring_Account_Name,Transferring_Account_Identifier,Transferring_Account_Holder,Acquiring_Registry,Acquiring_Account_Type,Acquiring_Account_Name,Acquiring_Account_Identifier,Acquiring_Account_Holder,Nb_of_Units,Originiality_Registry,Unit_Type,Number_of_Units,Original_Commitment_Period,LULUCF_Activity,Project_Identifier,Track,Expiry_Date
EU520540,10-0,2019-04-30 10:58:55.677,Completed,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,United Kingdom,100,Liberty Steel Newport Limited,5023062,Liberty Steel Newport Limited,15161,EU,EU General Allowances (EUA),15161,2,,,,
CDM57782,3-0,2019-04-30 10:42:38.099,Completed,CDM,110,,1000,,Netherlands,121,Carbon Rooster,5027591,Carbon Rooster Advisory Services B.V.,568081,CN,CER - Certified Emission Reduction Unit,568081,2,,2961,,
EU520532,10-0,2019-04-30 10:45:25.399,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Hungary,100,ASL Airlines (Hungary) Kft.,5026293,ASL Airlines (Hungary) Kft.,1847,EU,EU General Allowances (EUA),1847,2,,,,
EU520498,10-2,2019-04-30 09:28:07.736,Completed,Bulgaria,100,Zagorka AD,5016187,Zagorka AD,European Commission,100,EU Allowance deletion,5016380,European Commission,4876,EU,EU General Allowances (EUA),4876,2,,,,
EU519963,10-2,2019-04-30 09:44:37.576,Completed,Netherlands,100,DAMCO Aluminium Delfzijl Coöperatie U.A.,5022973,DAMCO Aluminium Delfzijl Coöperatie U.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,106435,EU,EU General Allowances (EUA),106435,2,,,,
EU520000,10-2,2019-04-30 08:52:40.851,Completed,Germany,100,Account of UTair Aviation JSC,5019076,UTair Aviation,European Commission,100,EU Allowance deletion,5016380,European Commission,27,EU,EU General Allowances (EUA),27,2,,,,
EU520082,10-2,2019-04-30 08:54:08.538,Completed,Hungary,100,PERTAR 31:HU304,5011888,CHP-ERŐMŰ Kft.,European Commission,100,EU Allowance deletion,5016380,European Commission,12711,EU,EU General Allowances (EUA),12711,2,,,,
EU520427,10-2,2019-04-30 08:58:23.968,Completed,Germany,100,1025 - Anlagenkonto,5014202,FFR Fernwärmeversorgung Flugplatz Ramstein GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,21002,EU,EU General Allowances (EUA),21002,2,,,,
EU520402,10-2,2019-04-30 08:59:48.699,Completed,Slovenia,100,Adria Airways d.d.,5000337,Adria Airways d.o.o.- V STEČAJU,European Commission,100,EU Allowance deletion,5016380,European Commission,3916,EU,EU General Allowances (EUA),3916,2,,,,
EU520443,10-2,2019-04-30 08:01:19.309,Completed,Bulgaria,100,Toplofikacia Pernik AD,5016115,Toplofikacia Pernik AD,European Commission,100,EU Allowance deletion,5016380,European Commission,197328,EU,EU General Allowances (EUA),197328,2,,,,
EU520444,10-2,2019-04-30 08:03:14.496,Completed,Bulgaria,100,"""TOPLOFICATSIA VT"" AD",5016118,“TOPLOFICATSIA VT” AD,European Commission,100,EU Allowance deletion,5016380,European Commission,14762,EU,EU General Allowances (EUA),14762,2,,,,
EU520446,10-2,2019-04-30 08:04:36.85,Completed,Bulgaria,100,"""Toplofikacia-Sliven-eng. Angel Angelov"" EAD",5016119,"""Toplofikacia Sliven"" EAD",European Commission,100,EU Allowance deletion,5016380,European Commission,119768,EU,EU General Allowances (EUA),119768,2,,,,
EU520448,10-2,2019-04-30 08:06:10.859,Completed,Bulgaria,100,ContourGlobal Maritsa East 3 AD,5016120,ContourGlobal Maritsa East 3 AD,European Commission,100,EU Allowance deletion,5016380,European Commission,4886646,EU,EU General Allowances (EUA),4886646,2,,,,
EU520452,10-2,2019-04-30 08:07:50.666,Completed,Bulgaria,100,TPP Bobov Dol,5016122,TPP Bobov Dol,European Commission,100,EU Allowance deletion,5016380,European Commission,1193696,EU,EU General Allowances (EUA),1193696,2,,,,
EU520454,10-2,2019-04-30 08:09:22.998,Completed,Bulgaria,100,Toplofikatsia Bourgas,5016126,Toplofikatsia-Bourgas EAD,European Commission,100,EU Allowance deletion,5016380,European Commission,73565,EU,EU General Allowances (EUA),73565,2,,,,
EU520456,10-2,2019-04-30 08:10:47.017,Completed,Bulgaria,100,Toplofikatsia - Razgrad AD,5016137,Toplofikatsia Razgrad AD,European Commission,100,EU Allowance deletion,5016380,European Commission,12339,EU,EU General Allowances (EUA),12339,2,,,,
EU520459,10-2,2019-04-30 08:12:19.467,Completed,Bulgaria,100,TOPLOFIKATSIA – VRATSA TETs GRADSKA,5016139,“ TOPLOFIKATSIA – VRATSA” EAD,European Commission,100,EU Allowance deletion,5016380,European Commission,28734,EU,EU General Allowances (EUA),28734,2,,,,
EU520447,10-2,2019-04-30 08:13:08.351,Completed,Bulgaria,100,Toplofikacia Sofia EAD-OC Zemliane,5016196,Toplofikacia Sofia EAD,European Commission,100,EU Allowance deletion,5016380,European Commission,156388,EU,EU General Allowances (EUA),156388,2,,,,
EU520445,10-2,2019-04-30 08:14:09.834,Completed,Bulgaria,100,Toplofikacia Sofia EAD-TEC Sofia,5016194,Toplofikacia Sofia EAD,European Commission,100,EU Allowance deletion,5016380,European Commission,383155,EU,EU General Allowances (EUA),383155,2,,,,
EU520123,10-2,2019-04-30 08:21:24.202,Completed,Germany,100,Werk Schermbeck,5015842,Dachziegelwerke Nelskamp GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,8856,EU,EU General Allowances (EUA),8856,2,,,,
EU520304,10-2,2019-04-30 08:25:21.686,Completed,Austria,100,Altenrhein Luftfahrt GmbH,5026087,Altenrhein Luftfahrt GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,2869,EU,EU General Allowances (EUA),2869,2,,,,
EU520451,10-2,2019-04-30 08:27:37.928,Completed,Denmark,100,Danish Air Transport A/S,5019217,DAT A/S,European Commission,100,EU Allowance deletion,5016380,European Commission,72202,EU,EU General Allowances (EUA),66353,2,,,,
EU520442,10-2,2019-04-30 08:34:35.668,Completed,Hungary,100,HF. Formula Kft.,5027689,HF. Formula Kft.,European Commission,100,EU Allowance deletion,5016380,European Commission,1898,EU,EU General Allowances (EUA),1898,2,,,,
EU519882,10-2,2019-04-30 08:38:08.152,Completed,France,100,APERAM ALLOYS IMPHY,5004866,APERAM ALLOYS IMPHY,European Commission,100,EU Allowance deletion,5016380,European Commission,24546,EU,EU General Allowances (EUA),24546,2,,,,
EU520467,10-2,2019-04-30 08:41:34.977,Completed,Bulgaria,100,TEC Marica 3,5016142,TEC Marica 3 AD,European Commission,100,EU Allowance deletion,5016380,European Commission,8011,EU,EU General Allowances (EUA),8011,2,,,,
EU520471,10-2,2019-04-30 08:43:43.525,Completed,Bulgaria,100,Toplofikacia Pleven,5016151,Toplofikacia Pleven EAD,European Commission,100,EU Allowance deletion,5016380,European Commission,185595,EU,EU General Allowances (EUA),185595,2,,,,
EU520472,10-2,2019-04-30 08:45:31.233,Completed,Bulgaria,100,"""RUBIN TRADING"" EAD",5016155,Rubin Trading EAD,European Commission,100,EU Allowance deletion,5016380,European Commission,51028,EU,EU General Allowances (EUA),51028,2,,,,
EU520469,10-2,2019-04-30 08:46:56.152,Completed,Germany,100,1721 - Minden - PharmaChemikalien,5015201,Siegfried PharmaChemikalien Minden GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,11319,EU,EU General Allowances (EUA),11319,2,,,,
EU520473,10-2,2019-04-30 08:47:06.777,Completed,Bulgaria,100,TPP MARITSA EAST 2  EAD,5016161,TPP MARITSA EAST 2  EAD,European Commission,100,EU Allowance deletion,5016380,European Commission,9574047,EU,EU General Allowances (EUA),9574047,2,,,,
EU520481,10-2,2019-04-30 08:59:51.889,Completed,Czech Republic,100,HELUZ cihlářský průmysl v.o.s.,5007062,HELUZ cihlářský průmysl v.o.s.,European Commission,100,EU Allowance deletion,5016380,European Commission,15909,EU,EU General Allowances (EUA),15909,2,,,,
EU520439,10-71,2019-04-30 09:04:18.376,Completed,Denmark,100,SUN-AIR of Scandinavia,5019108,SUN-AIR of Scandinavia A/S,European Commission,100,EU International Credit Account - Aviation,5022591,EUROPEAN COMMISSION,472,BR,CER - Certified Emission Reduction Unit,472,2,,5492,,
EU520485,10-2,2019-04-30 09:04:35.378,Completed,Bulgaria,100,Toplofikatsia Ruse-TEC Ruse Iztok,5016163,Toplofikatsia Ruse AD,European Commission,100,EU Allowance deletion,5016380,European Commission,248927,EU,EU General Allowances (EUA),248927,2,,,,
EU520492,10-72,2019-04-30 09:05:12.154,Completed,European Commission,100,EU Credit Exchange Account - Aviation,5022592,EUROPEAN COMMISSION,Denmark,100,SUN-AIR of Scandinavia,5019108,SUN-AIR of Scandinavia A/S,472,EU,EU Aviation Allowances (EUAA),472,2,,,,
EU520487,10-2,2019-04-30 09:06:23.095,Completed,Bulgaria,100,VEOLIA ENERGY VARNA EAD,5016182,VEOLIA ENERDGY VARNA EAD,European Commission,100,EU Allowance deletion,5016380,European Commission,37823,EU,EU General Allowances (EUA),37823,2,,,,
EU518223,10-2,2019-04-30 09:08:26.085,Completed,Germany,100,Otto Morof Tief- und Straßenbau GmbH,5018659,Otto Morof Tief- und Straßenbau GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,3332,EU,EU General Allowances (EUA),3332,2,,,,
EU516985,10-2,2019-04-26 15:57:38.56,Completed,France,100,CPTE THERMODYN,5005151,THERMODYN,European Commission,100,EU Allowance deletion,5016380,European Commission,2649,EU,EU General Allowances (EUA),2649,2,,,,
EU519789,10-0,2019-04-26 15:57:49.505,Completed,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,United Kingdom,100,Liberty Steel Newport Limited,5023062,Liberty Steel Newport Limited,16000,EU,EU General Allowances (EUA),16000,2,,,,
EU519790,10-0,2019-04-26 15:58:28.644,Completed,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,Slovenia,100,Adria Airways d.d.,5000337,Adria Airways d.o.o.- V STEČAJU,5000,EU,EU General Allowances (EUA),5000,2,,,,
EU519826,10-0,2019-04-26 16:00:13.406,Completed,United Kingdom,100,Mitsui Bussan Commodities Ltd,5017395,Mitsui Bussan Commodities Ltd,United Kingdom,100,CFP Energy Limited,5017513,CFP Energy Limited,10000,EU,EU General Allowances (EUA),10000,2,,,,
EU518099,10-0,2019-04-26 16:01:27.88,Completed,Italy,100,Aitherco2 SpA,5016984,AitherCO2 SIM SpA,Cyprus,100,Orion-X Ltd.,5026234,Orion-X Ltd.,764,EU,EU General Allowances (EUA),764,2,,,,
EU519615,10-2,2019-04-26 16:02:40.924,Completed,Sweden,100,"Classic Services II, LLC",5019642,"Classic Services II, LLC",European Commission,100,EU Allowance deletion,5016380,European Commission,101,EU,EU Aviation Allowances (EUAA),101,2,,,,
EU518133,10-0,2019-04-26 16:02:49.488,Completed,Portugal,100,"NAVIGATOR PAPER SETUBAL, S.A.",5003263,"NAVIGATOR PAPER SETUBAL, S.A.",Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,5142,EU,EU General Allowances (EUA),5142,2,,,,
EU516732,10-2,2019-04-26 16:05:22.637,Completed,Spain,100,"Tomates del Sur, S.L.U",5009845,"Tomates del Sur, S.L.U",European Commission,100,EU Allowance deletion,5016380,European Commission,10258,EU,EU General Allowances (EUA),10258,2,,,,
EU519062,10-0,2019-04-26 16:13:18.245,Completed,Germany,100,536 - Anlagenkonto,5015501,Pappenfabrik Trauchgau GmbH & Co. KG,Germany,100,548 - Anlagenkonto,5015588,Karl Kurz GmbH & Co. KG,698,EU,EU General Allowances (EUA),698,2,,,,
EU519834,10-2,2019-04-26 16:13:47.457,Completed,Spain,100,"Azulejos Plaza, S.A.",5020131,"Azulejos Plaza, S.A.",European Commission,100,EU Allowance deletion,5016380,European Commission,3767,EU,EU General Allowances (EUA),3767,2,,,,
EU519838,10-2,2019-04-26 16:19:01.237,Completed,Spain,100,"CERM, SLU",5009738,"COGENERACIÓN,ENERGÍAS RENOVABLES Y MEDIOAMBIENTE SLU CERM SLU",European Commission,100,EU Allowance deletion,5016380,European Commission,28855,EU,EU General Allowances (EUA),28855,2,,,,
EU518484,10-2,2019-04-26 16:25:05.592,Completed,France,100,TOYO INK EUROPE SPECIALTY CHEMICALS,5005593,TOYO INK EUROPE SPECIALTY CHEMICALS,European Commission,100,EU Allowance deletion,5016380,European Commission,3872,EU,EU General Allowances (EUA),3872,2,,,,
EU451003,10-71,2019-04-26 16:25:27.033,Completed,Germany,100,Small Planet Airlines GmbH,5026106,Small Planet Airlines GmbH i.I.,European Commission,100,EU International Credit Account - Aviation,5022591,EUROPEAN COMMISSION,484,PH,CER - Certified Emission Reduction Unit,484,2,,4547,,
EU519847,10-72,2019-04-26 16:26:15.79,Completed,European Commission,100,EU Credit Exchange Account - Aviation,5022592,EUROPEAN COMMISSION,Germany,100,Small Planet Airlines GmbH,5026106,Small Planet Airlines GmbH i.I.,484,EU,EU Aviation Allowances (EUAA),484,2,,,,
EU519076,10-0,2019-04-26 16:26:24.681,Completed,Sweden,100,Fjärrvärmeverket Sollefteå,5001986,Adven Energilösningar AB,Sweden,100,Adven Sverige trading,5027438,Adven Energilösningar AB,12000,EU,EU General Allowances (EUA),12000,2,,,,
EU519833,10-2,2019-04-26 16:29:25.46,Completed,Romania,100,BLUE AIR AVIATION S.A.,5000174,BLUE AIR AVIATION S.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,387000,EU,EU General Allowances (EUA),387000,2,,,,
EU519069,10-0,2019-04-26 16:30:20.368,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Hungary,100,VIRESOL Kft.,5027904,VIRESOL KFT.,1,EU,EU General Allowances (EUA),1,2,,,,
EU519848,10-2,2019-04-26 16:31:47.975,Completed,France,100,CPTE SILEC CABLE,5005333,SILEC CABLE,European Commission,100,EU Allowance deletion,5016380,European Commission,10322,EU,EU General Allowances (EUA),10322,2,,,,
EU519399,10-2,2019-04-26 16:32:44.537,Completed,Germany,100,443 - Anlagenkonto,5014395,Ziegelwerk Schmid GmbH & Co.,European Commission,100,EU Allowance deletion,5016380,European Commission,7920,EU,EU General Allowances (EUA),7920,2,,,,
EU503771,10-2,2019-04-26 16:36:15.537,Completed,Netherlands,100,Solidus Solutions Board B.V. locatie Coevorden,5011318,Solidus Solutions Board B.V.,European Commission,100,EU Allowance deletion,5016380,European Commission,14537,EU,EU General Allowances (EUA),14537,2,,,,
EU520495,10-2,2019-04-30 09:10:28.283,Completed,Denmark,100,SUN-AIR of Scandinavia,5019108,SUN-AIR of Scandinavia A/S,European Commission,100,EU Allowance deletion,5016380,European Commission,31475,EU,EU General Allowances (EUA),24999,2,,,,
EU520424,10-2,2019-04-30 09:13:24.06,Completed,Netherlands,100,DJP - De Hoop B.V.,5011345,DS Smith Packaging Netherlands B.V.,European Commission,100,EU Allowance deletion,5016380,European Commission,145633,EU,EU General Allowances (EUA),145633,2,,,,
EU520356,10-2,2019-04-30 09:16:49.53,Completed,Spain,100,"Geisa Fabrics, S.L.",5009361,"Geisa Fabrics, S.L.",European Commission,100,EU Allowance deletion,5016380,European Commission,18102,EU,EU General Allowances (EUA),18102,2,,,,
EU520450,10-2,2019-04-30 09:17:11.632,Completed,Poland,100,Kotłownia Zakładowa,5002694,HGBS FINANSE S.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,1422,EU,EU General Allowances (EUA),1422,2,,,,
EU520263,10-2,2019-04-30 09:17:14.078,Completed,Hungary,100,Operator Account:HU14,5011654,Bakonyi Bioenergia Kft.,European Commission,100,EU Allowance deletion,5016380,European Commission,3648,EU,EU General Allowances (EUA),3648,2,,,,
EU517926,10-2,2019-04-30 09:20:33.5,Completed,France,100,EURALIS CEREALES LESCAR,5022755,EURALIS CEREALES,European Commission,100,EU Allowance deletion,5016380,European Commission,1586,EU,EU General Allowances (EUA),1586,2,,,,
EU517922,10-2,2019-04-30 09:22:31.89,Completed,France,100,EURALIS CEREALES BARCELONNE DU GERS,5022754,EURALIS CEREALES,European Commission,100,EU Allowance deletion,5016380,European Commission,965,EU,EU General Allowances (EUA),965,2,,,,
EU517919,10-2,2019-04-30 09:25:34.289,Completed,France,100,EURALIS CEREALES SOLFERINO,5022753,EURALIS CEREALES,European Commission,100,EU Allowance deletion,5016380,European Commission,656,EU,EU General Allowances (EUA),656,2,,,,
EU520065,10-2,2019-04-30 09:26:15.22,Completed,France,100,ETEX FRANCE BUILDING PERFORMANCE - AUNEUIL,5022129,ETEX FRANCE BUILDING PERFORMANCE,European Commission,100,EU Allowance deletion,5016380,European Commission,56981,EU,EU General Allowances (EUA),56981,2,,,,
EU520496,10-2,2019-04-30 09:26:15.723,Completed,Bulgaria,100,AES-3C Maritza East 1,5016306,AES-3C Maritza East 1,European Commission,100,EU Allowance deletion,5016380,European Commission,4037871,EU,EU General Allowances (EUA),4037871,2,,,,
EU520457,10-2,2019-04-30 09:46:46.708,Completed,Germany,100,Momentive Performance Materials GmbH,5027680,Momentive Performance Materials GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,11,EU,EU General Allowances (EUA),11,2,,,,
EU519376,10-2,2019-04-30 09:48:03.708,Completed,Germany,100,Westlake Epoxy GmbH,5019602,Westlake Epoxy GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,9320,EU,EU General Allowances (EUA),9320,2,,,,
EU520503,10-2,2019-04-30 09:49:14.662,Completed,Germany,100,613 - Anlagenkonto,5016099,Schoß als Insolvenzverwalter der Papierfabrik Tönnesmann Hönnetal GmbH & Co. KG,European Commission,100,EU Allowance deletion,5016380,European Commission,1083,EU,EU General Allowances (EUA),1083,2,,,,
EU520312,10-2,2019-04-30 09:55:02.661,Completed,France,100,SUMIRIKO RUBBER COMPOUNDING FRANCE,5004811,SUMIRIKO RUBBER COMPOUNDING FRANCE SAS,European Commission,100,EU Allowance deletion,5016380,European Commission,2588,EU,EU General Allowances (EUA),2588,2,,,,
EU520478,10-0,2019-04-30 10:00:37.186,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Spain,100,Matías Goma Tomás S.A.,5009813,Matias Gomá Tomas S.A.,275,EU,EU General Allowances (EUA),275,2,,,,
EU520429,10-0,2019-04-30 10:00:46.652,Completed,Spain,100,FUTURA CARBONO S.L.,5024181,FUTURA CARBONO S.L.,United Kingdom,100,ED&F Man Capital Markets Ltd,5023256,E D & F MAN CAPITAL MARKETS LIMITED,20000,EU,EU General Allowances (EUA),20000,2,,,,
EU520453,10-0,2019-04-30 10:01:01.945,Completed,Germany,100,Commerzbank AG - Trading Account,5016810,COMMERZBANK Aktiengesellschaft,Germany,100,Deutsche Lufthansa Aktiengesellschaft,5013721,Deutsche Lufthansa Aktiengesellschaft,100000,EU,EU General Allowances (EUA),100000,2,,,,
EU520466,10-0,2019-04-30 10:01:48.545,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Iceland,100,Bluebird Cargo,5017996,Bluebird,9919,EU,EU General Allowances (EUA),9919,2,,,,
EU520455,10-0,2019-04-30 10:02:39.938,Completed,Germany,100,Commerzbank AG - Trading Account,5016810,COMMERZBANK Aktiengesellschaft,France,100,EDF TRADING LIMITED,5027028,EDF TRADING LTD,86000,EU,EU General Allowances (EUA),86000,2,,,,
EU520463,10-0,2019-04-30 10:02:40.106,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Iceland,100,Bluebird Cargo,5017996,Bluebird,328,CN,CER - Certified Emission Reduction Unit,328,2,,5080,,
EU520488,10-0,2019-04-30 10:03:09.342,Completed,Spain,100,"Naturgy Energy Group, S.A.",5017187,"Naturgy Energy Group, S.A.",Spain,100,CUENTA NEGOCIACION MERCADOS CO2,5017384,"Naturgy Ciclos Combinados, S.L.U.",270000,EU,EU General Allowances (EUA),270000,2,,,,
EU520516,10-0,2019-04-30 10:04:51.381,Completed,United Kingdom,100,SEB FUTURES,5017323,S E B,Netherlands,100,ICE Clear Europe Limited,5026873,ICE Clear Europe Limited,17000,EU,EU General Allowances (EUA),17000,2,,,,
EU520490,10-0,2019-04-30 10:06:21.932,Completed,Germany,100,Statkraft Markets GmbH,5017011,Statkraft Markets GmbH,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,500000,EU,EU General Allowances (EUA),500000,2,,,,
EU520126,10-0,2019-04-30 10:07:12.728,Completed,Bulgaria,100,Zagora Finacorp Jsc.,5027231,Zagora Finacorp Jsc.,Slovakia,100,"CHEMES, a. s. Humenné",5002996,"CHEMES, a.s. Humenné",29000,EU,EU General Allowances (EUA),29000,2,,,,
EU520461,10-0,2019-04-30 10:07:32.171,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Italy,100,Rondine S.p.A.,5018933,ITALCER SPA,477,CN,CER - Certified Emission Reduction Unit,477,2,,1872,,
EU520520,10-0,2019-04-30 10:07:33.435,Completed,United Kingdom,100,Environmental Market Services Limited,5027412,Environmental Market Services limited,Slovenia,100,Belektron TRD Si,5016820,BELEKTRON d.o.o.,25000,CN,CER - Certified Emission Reduction Unit,25000,2,,6769,,
EU517244,10-2,2019-04-30 10:07:46.789,Completed,France,100,SAFRAN LANDING SYSTEMS,5005545,SAFRAN LANDING SYSTEMS,European Commission,100,EU Allowance deletion,5016380,European Commission,22387,EU,EU General Allowances (EUA),22387,2,,,,
EU520465,10-0,2019-04-30 10:08:01.744,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Netherlands,100,FUTURES CLIENT TRADING ACCOUNT,5027936,Macquarie Bank Limited,20000,EU,EU General Allowances (EUA),20000,2,,,,
EU520542,10-2,2019-04-30 10:47:11.821,Completed,France,100,AIR CAIRO,5018800,AIR CAIRO,European Commission,100,EU Allowance deletion,5016380,European Commission,718,EU,EU Aviation Allowances (EUAA),718,2,,,,
EU520546,10-0,2019-04-30 10:51:47.788,Completed,Germany,100,Goldman Sachs International,5027670,Goldman Sachs International,Ireland,100,Ryanair DAC,5001120,Ryanair Designated Activity Company,100000,EU,EU General Allowances (EUA),100000,2,,,,
